"layer","case","idx","us"
"B0-B","P50","1","4632.8"
"B0-B","P50","2","4589.1"
"B0-B","P50","3","4554.3"
"B0-B","P50","4","4559.8"
"B0-B","P50","5","4584.6"
"B0-B","P50","6","4730.5"
"B0-B","P50","7","4649.3"
"B0-B","P50","8","4653.6"
"B0-B","P50","9","4672"
"B0-B","P50","10","4688.2"
"B0-B","P25","1","1496"
"B0-B","P25","2","1435"
"B0-B","P25","3","1445.3"
"B0-B","P25","4","1397"
"B0-B","P25","5","1401.5"
"B0-B","P25","6","1388.1"
"B0-B","P25","7","1402.4"
"B0-B","P25","8","1401.9"
"B0-B","P25","9","1417.8"
"B0-B","P25","10","1384.6"
"B0-B","P25","11","1377.3"
"B0-B","P25","12","1386.1"
"B0-B","P25","13","1403.3"
"B0-B","P25","14","1381.5"
"B0-B","P25","15","1379.2"
"B0-B","P25","16","1390.6"
"B0-B","P25","17","1387.5"
"B0-B","P25","18","1526.1"
"B0-B","P25","19","1439.5"
"B0-B","P25","20","1425.1"
"B0-B","P1","1","124"
"B0-B","P1","2","125"
"B0-B","P1","3","109.2"
"B0-B","P1","4","105.7"
"B0-B","P1","5","104"
"B0-B","P1","6","107.3"
"B0-B","P1","7","100.3"
"B0-B","P1","8","98.3"
"B0-B","P1","9","95.2"
"B0-B","P1","10","95"
"B0-B","P1","11","119.8"
"B0-B","P1","12","135.8"
"B0-B","P1","13","135.9"
"B0-B","P1","14","110.6"
"B0-B","P1","15","101"
"B0-B","P1","16","99.1"
"B0-B","P1","17","105.6"
"B0-B","P1","18","104.1"
"B0-B","P1","19","96.6"
"B0-B","P1","20","102.4"
"B0-B","P1","21","108.2"
"B0-B","P1","22","99"
"B0-B","P1","23","119.6"
"B0-B","P1","24","96.4"
"B0-B","P1","25","123.2"
"B0-B","P1","26","115.5"
"B0-B","P1","27","139.2"
"B0-B","P1","28","115.2"
"B0-B","P1","29","142.3"
"B0-B","P1","30","121.4"
"B0-B","P1","31","112.3"
"B0-B","P1","32","119.3"
